GENE	SYMBOL	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
ENSG00000102837	OLFM4	13	53602894	53626192	52	12	109093	4.5891	2.23E-06
ENSG00000183032	SLC25A21	14	37147636	37642071	1158	92	109105	4.5708	2.43E-06
ENSG00000130487	KLHDC7B	22	50986462	50989451	10	4	109319	4.5694	2.45E-06
ENSG00000133313	CNDP2	18	72163051	72188366	81	11	109043	4.5578	2.58E-06
ENSG00000161031	PGLYRP2	19	15579456	15609767	53	10	109023	4.5567	2.60E-06
ENSG00000167487	KLHL26	19	18747775	18781309	85	15	108977	4.5488	2.70E-06
ENSG00000184478	OR56A3	11	5968570	5969591	2	1	109360	4.5393	2.82E-06
ENSG00000167588	GPD1	12	50497602	50505102	5	2	109131	4.5021	3.36E-06
ENSG00000155096	AZIN1	8	103838585	103906092	166	14	109232	4.4994	3.41E-06
ENSG00000188763	FZD9	7	72848109	72850450	3	2	109095	4.4973	3.44E-06
ENSG00000125462	C1orf61	1	156374042	156400493	23	7	109051	4.4857	3.63E-06
ENSG00000176853	FAM91A1	8	124780696	124827692	92	9	109120	4.4821	3.70E-06
ENSG00000169499	PLEKHA2	8	38758753	38831428	88	24	108977	4.4794	3.74E-06
ENSG00000267884	AL626787.1	1	166026679	166028709	5	2	108953	4.4743	3.83E-06
ENSG00000146555	SDK1	7	3341080	4308632	2931	135	109001	4.4702	3.91E-06
ENSG00000139767	SRRM4	12	119419300	119600856	608	44	109112	4.4525	4.24E-06
ENSG00000150636	CCDC102B	18	66382446	66722426	895	64	109147	4.4354	4.60E-06
ENSG00000000457	SCYL3	1	169818772	169863408	133	12	109072	4.4228	4.87E-06
ENSG00000148948	LRRC4C	11	40135753	41481323	2845	192	109006	4.4184	4.97E-06
ENSG00000151812	SLC35F4	14	58030640	58448912	1250	84	109044	4.4177	4.99E-06
ENSG00000259164	RP11-463C8.4	14	77564654	77691805	267	42	109007	4.4144	5.06E-06
ENSG00000154217	PITPNC1	17	65373575	65693372	501	83	109027	4.4136	5.08E-06
ENSG00000140470	ADAMTS17	15	100511794	100882210	1275	124	109048	4.3968	5.49E-06
ENSG00000146433	TMEM181	6	158957468	159056460	238	21	109106	4.3939	5.57E-06
ENSG00000106638	TBL2	7	72983262	72993121	22	7	109184	4.393	5.59E-06
ENSG00000169760	NLGN1	3	173114074	174004434	1807	136	109008	4.3898	5.67E-06
ENSG00000145191	EIF2B5	3	183852826	184402546	1348	159	109032	4.385	5.80E-06
ENSG00000138741	TRPC3	4	122800182	122872909	92	14	109063	4.3738	6.10E-06
ENSG00000170091	NSG2	5	173472607	173670504	547	65	109092	4.3721	6.15E-06
ENSG00000112902	SEMA5A	5	9035138	9546187	1226	136	109052	4.3713	6.18E-06
ENSG00000068400	GRIPAP1	X	48830134	48858675	5	2	108965	4.3702	6.21E-06
ENSG00000151276	MAGI1	3	65339200	66024509	1454	173	108992	4.369	6.24E-06
ENSG00000130950	NUTM2F	9	97077605	97090926	22	7	109025	4.3647	6.36E-06
ENSG00000181215	C4orf50	4	5958845	5991545	84	16	109038	4.3548	6.66E-06
ENSG00000171806	METTL18	1	169761670	169764107	6	3	109283	4.3479	6.87E-06
ENSG00000049759	NEDD4L	18	55711599	56068772	796	92	109016	4.3467	6.91E-06
ENSG00000144426	NBEAL1	2	203879602	204091101	283	24	109068	4.3365	7.24E-06
ENSG00000184828	ZBTB7C	18	45553044	45937123	946	148	109006	4.3333	7.34E-06
ENSG00000107104	KANK1	9	470291	746105	997	50	108943	4.318	7.87E-06
ENSG00000140950	TLDC1	16	84511681	84587639	331	53	108983	4.3097	8.17E-06
ENSG00000121454	LHX4	1	180199421	180249380	132	28	108955	4.3082	8.23E-06
ENSG00000181804	SLC9A9	3	142984064	143567373	1381	162	109034	4.3075	8.26E-06
ENSG00000142512	SIGLEC10	19	51913275	51921057	20	4	108916	4.3071	8.27E-06
ENSG00000197410	DCHS2	4	155153399	155412930	606	53	109111	4.2896	8.95E-06
ENSG00000164418	GRIK2	6	101846664	102517958	1689	127	109066	4.2891	8.97E-06
ENSG00000264424	MYH4	17	10346607	10372876	46	6	109226	4.2877	9.03E-06
ENSG00000152767	FARP1	13	98794816	99102027	787	120	109022	4.2744	9.58E-06
ENSG00000136240	KDELR2	7	6485584	6523873	102	18	109060	4.2738	9.61E-06
ENSG00000119004	CYP20A1	2	204103663	204163009	118	13	109229	4.2706	9.75E-06
ENSG00000152092	ASTN1	1	176826438	177134109	485	64	109115	4.2692	9.81E-06
ENSG00000185973	TMLHE	X	154719776	154899605	30	6	109271	4.268	9.86E-06
ENSG00000185046	ANKS1B	12	99120235	100378432	2213	181	108956	4.2665	9.93E-06
ENSG00000160801	PTH1R	3	46919236	46945287	36	8	109071	4.2639	1.00E-05
ENSG00000169750	RAC3	17	79989500	79992080	4	2	108857	4.2552	1.04E-05
ENSG00000169860	P2RY1	3	152552736	152555841	6	2	109249	4.2548	1.05E-05
ENSG00000111879	FAM184A	6	119280928	119470552	321	41	109090	4.2538	1.05E-05
ENSG00000188580	NKAIN2	6	124125286	125146803	2011	181	109031	4.2496	1.07E-05
ENSG00000139684	ESD	13	47345391	47371367	32	5	109054	4.2461	1.09E-05
ENSG00000176771	NCKAP5	2	133429374	134326034	1647	146	109028	4.2368	1.13E-05
ENSG00000151952	TMEM132D	12	129556270	130388211	2099	262	109026	4.2337	1.15E-05
ENSG00000048052	HDAC9	7	18126572	19042039	1622	147	108981	4.2314	1.16E-05
ENSG00000215906	LACTBL1	1	23279536	23291831	23	8	109088	4.2287	1.18E-05
ENSG00000173406	DAB1	1	57460451	59012406	3676	299	109052	4.2267	1.19E-05
ENSG00000158125	XDH	2	31557187	31637581	218	35	109006	4.2257	1.19E-05
ENSG00000204538	PSORS1C2	6	31105313	31107127	15	7	109283	4.223	1.21E-05
ENSG00000128590	DNAJB9	7	108210012	108215294	10	3	109197	4.2204	1.22E-05
ENSG00000171604	CXXC5	5	139026884	139063467	44	8	109030	4.2189	1.23E-05
ENSG00000120162	MOB3B	9	27325207	27529779	527	54	109062	4.2162	1.24E-05
ENSG00000048471	SNX29	16	12070594	12668146	2022	134	108998	4.2135	1.26E-05
ENSG00000121270	ABCC11	16	48200821	48281479	232	9	109233	4.2107	1.27E-05
ENSG00000075415	SLC25A3	12	98987369	98995946	14	5	109050	4.2102	1.28E-05
ENSG00000198346	ZNF813	19	53970989	54006950	95	19	108800	4.2045	1.31E-05
ENSG00000134490	TMEM241	18	20777108	21017925	253	37	109016	4.2038	1.31E-05
ENSG00000113448	PDE4D	5	58264865	59817947	2918	185	109028	4.2009	1.33E-05
ENSG00000172425	TTC36	11	118398187	118401912	2	1	109159	4.2007	1.33E-05
ENSG00000148175	STOM	9	124101355	124132531	61	11	109087	4.196	1.36E-05
ENSG00000137868	STRA6	15	74471807	74504608	54	9	109074	4.1957	1.36E-05
ENSG00000163623	NKX6-1	4	85413140	85419603	7	3	109121	4.1894	1.40E-05
ENSG00000185008	ROBO2	3	75955846	77699115	3789	252	109026	4.1886	1.40E-05
ENSG00000163545	NUAK2	1	205271187	205290883	42	11	109067	4.1886	1.40E-05
ENSG00000130182	ZSCAN10	16	3138891	3149318	23	4	108947	4.184	1.43E-05
ENSG00000144619	CNTN4	3	2140497	3099645	2610	308	108978	4.1826	1.44E-05
ENSG00000129521	EGLN3	14	34393437	34931980	1257	158	109014	4.1821	1.44E-05
ENSG00000109851	DBX1	11	20177701	20182159	10	4	109120	4.177	1.48E-05
ENSG00000088756	ARHGAP28	18	6729717	6915715	321	47	109008	4.173	1.50E-05
ENSG00000042781	USH2A	1	215796236	216596738	1747	152	109065	4.1638	1.56E-05
ENSG00000133020	MYH8	17	10293639	10325267	48	5	109197	4.1633	1.57E-05
ENSG00000171724	VAT1L	16	77822427	78014004	547	88	108989	4.1605	1.59E-05
ENSG00000178878	APOLD1	12	12878851	12982909	172	36	108977	4.1596	1.59E-05
ENSG00000185274	WBSCR17	7	70597155	71178585	1585	137	109046	4.1569	1.61E-05
ENSG00000043039	BARX2	11	129245835	129322171	181	40	108927	4.1558	1.62E-05
ENSG00000124788	ATXN1	6	16299343	16761722	1056	150	108996	4.1456	1.69E-05
ENSG00000253320	KB-1507C5.2	8	103876528	103990104	233	26	109081	4.133	1.79E-05
ENSG00000133401	PDZD2	5	31639517	32111037	1160	186	108985	4.1282	1.83E-05
ENSG00000214367	HAUS3	4	2229191	2243891	30	4	109182	4.1217	1.88E-05
ENSG00000001631	KRIT1	7	91828283	91875480	43	8	109049	4.1151	1.94E-05
ENSG00000141570	CBX8	17	77765931	77775482	11	6	108906	4.1147	1.94E-05
ENSG00000156030	ELMSAN1	14	74181825	74256988	142	25	109022	4.1114	1.97E-05
ENSG00000154162	CDH12	5	21750782	22853731	2119	116	109042	4.1057	2.02E-05
ENSG00000168621	GDNF	5	37812779	37839788	70	14	109053	4.1044	2.03E-05
ENSG00000128274	A4GALT	22	43088127	43117304	93	17	108983	4.1035	2.03E-05
ENSG00000105501	SIGLEC5	19	52114781	52150151	63	14	109035	4.1006	2.06E-05
ENSG00000197321	SVIL	10	29746267	30025710	903	89	109064	4.0996	2.07E-05
ENSG00000182791	CCDC87	11	66357640	66360554	3	2	109360	4.0991	2.07E-05
ENSG00000183049	CAMK1D	10	12391481	12877545	1201	131	108976	4.0981	2.08E-05
ENSG00000164535	DAGLB	7	6448757	6523821	249	31	109137	4.0949	2.11E-05
ENSG00000175497	DPP10	2	115199876	116603328	2934	156	109044	4.0945	2.12E-05
ENSG00000155959	VBP1	X	154425284	154468098	24	5	109072	4.0938	2.12E-05
ENSG00000186732	MPPED1	22	43807202	43903728	256	46	109017	4.0931	2.13E-05
ENSG00000109061	MYH1	17	10395624	10421860	36	7	109064	4.0885	2.17E-05
ENSG00000181467	RAP2B	3	152880029	152886265	3	2	108687	4.0852	2.20E-05
ENSG00000250349	TM4SF2	X	37208583	38546928	963	99	109071	4.0813	2.24E-05
ENSG00000251606	CTD-2215E18.1	5	96424779	96519354	179	29	109131	4.074	2.31E-05
ENSG00000028137	TNFRSF1B	1	12227060	12269285	80	9	109073	4.0698	2.35E-05
ENSG00000164190	NIPBL	5	36876861	37066515	224	23	109145	4.0599	2.45E-05
ENSG00000144847	IGSF11	3	118619404	118864915	585	41	109120	4.0553	2.50E-05
ENSG00000179242	CDH4	20	59827482	60515673	1984	249	109019	4.0549	2.51E-05
ENSG00000240542	KRTAP9-1	17	39344697	39346891	5	3	109001	4.0458	2.61E-05
ENSG00000142798	HSPG2	1	22148738	22263790	283	34	109097	4.0449	2.62E-05
ENSG00000159216	RUNX1	21	36160098	37376965	2720	213	109038	4.0443	2.62E-05
ENSG00000171017	LRRC8E	19	7953390	7966901	21	4	108979	4.039	2.68E-05
ENSG00000173166	RAPH1	2	204259068	204400133	178	20	109022	4.0318	2.77E-05
ENSG00000110881	ASIC1	12	50451331	50477394	41	6	109201	4.0299	2.79E-05
ENSG00000166340	TPP1	11	6634000	6640692	11	5	108907	4.0271	2.82E-05
ENSG00000188785	ZNF548	19	57901218	57912786	20	7	109015	4.0266	2.83E-05
ENSG00000140465	CYP1A1	15	75011883	75017951	5	3	109217	4.0231	2.87E-05
ENSG00000163424	C3orf30	3	118864997	118878889	49	10	109304	4.0219	2.89E-05
ENSG00000198054	DSCR8	21	39493545	39560110	118	13	109149	4.0175	2.94E-05
ENSG00000268537	AC109583.1	3	46927699	46930171	4	2	109030	4.0162	2.96E-05
ENSG00000134627	PIWIL4	11	94277006	94354587	160	16	109104	4.0159	2.96E-05
ENSG00000137200	CMTR1	6	37400995	37450603	59	11	109173	4.0157	2.96E-05
ENSG00000204536	CCHCR1	6	31110216	31126015	163	20	109308	4.0101	3.03E-05
ENSG00000164258	NDUFS4	5	52856463	52979168	374	28	109210	4.004	3.11E-05
ENSG00000268500	SIGLEC5	19	52115344	52150142	60	14	109041	4.0035	3.12E-05
ENSG00000166148	AVPR1A	12	63539014	63544722	5	3	109050	4.003	3.13E-05
ENSG00000102804	TSC22D1	13	45007655	45151283	259	16	109152	4.0009	3.16E-05
ENSG00000089902	RCOR1	14	103058998	103196913	320	21	109175	4.0001	3.17E-05
ENSG00000257242	C12orf79	12	92378756	92536690	370	63	109018	3.9997	3.17E-05
ENSG00000182568	SATB1	3	18386879	18487080	175	24	109073	3.9983	3.19E-05
ENSG00000165973	NELL1	11	20691117	21597227	2140	228	109003	3.9978	3.20E-05
ENSG00000162777	DENND2D	1	111729796	111747157	28	11	109189	3.9973	3.20E-05
ENSG00000111875	ASF1A	6	119215384	119230332	33	6	109174	3.9932	3.26E-05
ENSG00000000460	C1orf112	1	169631245	169823221	762	28	109182	3.9797	3.45E-05
ENSG00000145934	TENM2	5	166711804	167691162	1480	205	108942	3.9793	3.46E-05
ENSG00000151136	BTBD11	12	107712190	108053419	720	56	109047	3.9785	3.47E-05
ENSG00000142409	ZNF787	19	56598732	56632649	58	7	109075	3.9761	3.50E-05
ENSG00000184588	PDE4B	1	66258197	66840259	1094	88	109050	3.9752	3.52E-05
ENSG00000198791	CNOT7	8	17086737	17104387	39	7	108984	3.9744	3.53E-05
ENSG00000151623	NR3C2	4	148999913	149365850	626	71	108987	3.973	3.55E-05
ENSG00000161021	MAML1	5	179159851	179223512	164	16	109149	3.9728	3.55E-05
ENSG00000214248	AC010336.1	19	7963689	7968427	10	4	108964	3.9674	3.63E-05
ENSG00000134508	CABLES1	18	20714528	20840431	166	22	109077	3.9503	3.90E-05
ENSG00000235531	RP11-383H13.1	8	72740402	73030628	897	77	109038	3.9425	4.03E-05
ENSG00000169239	CA5B	X	15706953	15805747	52	10	108975	3.9421	4.04E-05
ENSG00000155961	RAB39B	X	154487526	154493874	2	1	109291	3.9363	4.14E-05
ENSG00000198060	MARCH5	10	94050920	94113721	72	8	109153	3.9311	4.23E-05
ENSG00000107864	CPEB3	10	93806449	94050844	309	20	109114	3.9279	4.28E-05
ENSG00000169641	LUZP1	1	23410516	23504301	157	17	109168	3.9277	4.29E-05
ENSG00000136231	IGF2BP3	7	23349828	23510086	326	42	109026	3.9274	4.29E-05
ENSG00000146592	CREB5	7	28338940	28865511	1044	151	108968	3.9229	4.37E-05
ENSG00000137507	LRRC32	11	76368568	76381791	11	6	108796	3.921	4.41E-05
ENSG00000168824	NSG1	4	4349867	4420785	164	29	108939	3.9186	4.45E-05
ENSG00000146122	DAAM2	6	39760142	39872648	243	37	109052	3.9176	4.47E-05
ENSG00000154803	FLCN	17	17115526	17140502	71	10	109028	3.9165	4.49E-05
ENSG00000183715	OPCML	11	132284871	133402414	2501	271	109045	3.9153	4.51E-05
ENSG00000130997	POLN	4	2073645	2243848	365	10	109226	3.9109	4.60E-05
ENSG00000065717	TLE2	19	2997636	3047633	91	19	108957	3.9106	4.60E-05
ENSG00000130561	SAG	2	234216462	234255701	111	16	109039	3.9085	4.64E-05
ENSG00000187980	PLA2G2C	1	20487746	20503917	44	9	109130	3.9029	4.75E-05
ENSG00000228368	AC106873.4	7	116605900	116607526	2	1	109145	3.9005	4.80E-05
ENSG00000127989	MTERF	7	91321323	91510034	288	20	109048	3.8985	4.84E-05
ENSG00000145321	GC	4	72607410	72669758	122	16	108985	3.8908	5.00E-05
ENSG00000001629	ANKIB1	7	91875548	92030698	136	14	109116	3.8908	5.00E-05
ENSG00000102910	LONP2	16	48278207	48397033	126	10	109163	3.8894	5.02E-05
ENSG00000087365	SF3B2	11	65818200	65836779	21	4	108814	3.8879	5.06E-05
ENSG00000152954	NRSN1	6	24126350	24155128	62	19	108978	3.8857	5.10E-05
ENSG00000183831	ANKRD45	1	173578700	173639001	55	9	108826	3.8829	5.16E-05
ENSG00000135905	DOCK10	2	225629807	225907162	645	45	109110	3.8793	5.24E-05
ENSG00000178796	RIIAD1	1	151682909	151702281	27	9	108942	3.8787	5.25E-05
ENSG00000240510	AL589765.1	1	151682909	151702070	27	9	108942	3.8787	5.25E-05
ENSG00000080618	CPB2	13	46627321	46679211	102	6	109073	3.8761	5.31E-05
ENSG00000227184	EPPK1	8	144939497	144952632	25	11	109131	3.8734	5.37E-05
ENSG00000254413	CHKB-CPT1B	22	51007298	51021394	55	8	109213	3.8711	5.42E-05
ENSG00000105640	RPL18A	19	17970685	17974962	10	2	109290	3.8694	5.46E-05
ENSG00000170525	PFKFB3	10	6186881	6277495	197	53	109052	3.8675	5.50E-05
ENSG00000176349	AC110781.3	7	1878222	1889567	73	9	109130	3.8664	5.52E-05
ENSG00000185420	SMYD3	1	245912642	246670614	2654	113	109088	3.8641	5.58E-05
ENSG00000165704	HPRT1	X	133594183	133654543	9	3	109160	3.8628	5.61E-05
ENSG00000136848	DAB2IP	9	124329336	124547809	310	51	109095	3.8541	5.81E-05
ENSG00000082014	SMARCD3	7	150935850	150974982	61	14	109042	3.8516	5.87E-05
ENSG00000154493	C10orf90	10	128113566	128359079	538	69	109031	3.8507	5.89E-05
ENSG00000084731	KIF3C	2	26149471	26205618	125	18	109050	3.8463	5.99E-05
ENSG00000172673	THEMIS	6	128029217	128239776	316	33	109071	3.8463	6.00E-05
ENSG00000112699	GMDS	6	1624041	2245926	1038	102	108997	3.8406	6.14E-05
ENSG00000146950	SHROOM2	X	9754496	9917483	67	22	108930	3.8391	6.17E-05
ENSG00000100439	ABHD4	14	23067146	23081265	32	10	109018	3.8361	6.25E-05
ENSG00000137440	FGFBP1	4	15937192	15940363	9	3	109214	3.8348	6.28E-05
ENSG00000125846	ZNF133	20	18269121	18297640	57	11	109161	3.8346	6.29E-05
ENSG00000070159	PTPN3	9	112137746	112260590	260	25	109083	3.8344	6.29E-05
ENSG00000174799	CEP135	4	56815037	56899529	160	18	109158	3.8299	6.41E-05
ENSG00000205560	CPT1B	22	51007290	51017899	46	7	109236	3.827	6.48E-05
ENSG00000267987	AL161784.1	9	124103625	124110410	10	4	109040	3.8196	6.68E-05
ENSG00000078328	RBFOX1	16	6069095	7763340	6415	527	108979	3.8193	6.69E-05
ENSG00000198792	TMEM184B	22	38615298	38669040	88	13	109095	3.8183	6.72E-05
ENSG00000171241	SHCBP1	16	46614466	46655538	18	9	109123	3.8141	6.83E-05
ENSG00000172554	SNTG2	2	946554	1371385	1631	72	109068	3.8119	6.90E-05
ENSG00000137843	PAK6	15	40509629	40569688	90	23	109051	3.8107	6.93E-05
ENSG00000259288	RP11-133K1.2	15	40509629	40568597	90	23	109051	3.8107	6.93E-05
ENSG00000119514	GALNT12	9	101569981	101612363	61	14	109096	3.8074	7.02E-05
ENSG00000229474	PATL2	15	44957930	45003514	16	7	109124	3.8028	7.15E-05
ENSG00000269781	FLJ20306	7	6522922	6524873	4	2	109038	3.8016	7.19E-05
ENSG00000038382	TRIO	5	14143811	14532235	662	53	108985	3.8013	7.20E-05
ENSG00000151789	ZNF385D	3	21459915	22414812	2869	242	108964	3.8004	7.22E-05
ENSG00000255823	MTRNR2L8	11	10529434	10530723	6	3	109130	3.8001	7.23E-05
ENSG00000068024	HDAC4	2	239969864	240323348	844	82	109009	3.7995	7.25E-05
ENSG00000129219	PLD2	17	4710391	4726729	33	7	109027	3.7934	7.43E-05
ENSG00000162946	DISC1	1	231762561	232177018	767	101	109024	3.7889	7.57E-05
ENSG00000158122	AAED1	9	99401859	99417585	6	3	108976	3.7876	7.61E-05
ENSG00000131016	AKAP12	6	151561134	151679692	335	53	109022	3.7861	7.65E-05
ENSG00000189013	KIR2DL4	19	55236002	55325972	12	3	109263	3.7814	7.80E-05
ENSG00000180875	GREM2	1	240652873	240775449	206	49	109057	3.7812	7.80E-05
ENSG00000156313	RPGR	X	38128416	38186817	97	10	109184	3.7791	7.87E-05
ENSG00000125746	EML2	19	46110252	46148887	66	10	109121	3.7752	8.00E-05
ENSG00000170788	DYDC1	10	82095861	82116511	39	8	108919	3.7742	8.03E-05
ENSG00000086159	AQP6	12	50360977	50370922	10	3	109161	3.7738	8.04E-05
ENSG00000139610	CELA1	12	51722227	51740463	41	7	109004	3.7736	8.04E-05
ENSG00000264187	RP11-45M22.4	17	17105963	17140499	94	13	108991	3.773	8.07E-05
ENSG00000113645	WWC1	5	167718656	167899308	347	63	109019	3.7697	8.17E-05
ENSG00000176463	SLCO3A1	15	92396925	92715665	687	74	108938	3.7632	8.39E-05
ENSG00000198286	CARD11	7	2945775	3083579	321	61	108987	3.7605	8.48E-05
ENSG00000107249	GLIS3	9	3824127	4348392	1388	180	108968	3.7594	8.52E-05
ENSG00000168843	FSTL5	4	162305049	163085187	2085	108	109056	3.7591	8.53E-05
ENSG00000205221	VIT	2	36923833	37041935	274	46	109038	3.7575	8.58E-05
ENSG00000168280	KIF5C	2	149632819	149883273	177	7	109109	3.7572	8.59E-05
ENSG00000196502	SULT1A1	16	28616903	28634946	9	1	109193	3.7572	8.59E-05
ENSG00000117791	MARC2	1	220921567	220958150	84	8	108956	3.757	8.60E-05
ENSG00000150995	ITPR1	3	4535032	4889524	639	118	109006	3.755	8.67E-05
ENSG00000130429	ARPC1B	7	98971872	98992424	42	5	109212	3.7519	8.78E-05
ENSG00000139083	ETV6	12	11802788	12048336	412	63	109056	3.7492	8.87E-05
ENSG00000176769	TCERG1L	10	132890654	133109984	759	106	108982	3.7468	8.96E-05
ENSG00000163618	CADPS	3	62384022	62861054	1244	118	108967	3.7423	9.12E-05
ENSG00000112038	OPRM1	6	154331631	154568001	575	53	109035	3.7417	9.14E-05
ENSG00000166922	SCG5	15	32933877	32989299	103	29	109060	3.7404	9.19E-05
ENSG00000103091	WDR59	16	74907468	75034071	217	43	109035	3.7373	9.30E-05
ENSG00000100365	NCF4	22	37257030	37274057	51	9	109103	3.7306	9.55E-05
ENSG00000185467	KPNA7	7	98771197	98805129	147	8	109131	3.7291	9.61E-05
ENSG00000154654	NCAM2	21	22370633	22915650	1305	92	109111	3.7286	9.63E-05
ENSG00000104133	SPG11	15	44854894	44955876	37	18	109106	3.728	9.65E-05
ENSG00000219438	FAM19A5	22	48885272	49246724	1264	143	108977	3.7263	9.72E-05
ENSG00000224051	GLTPD1	1	1260136	1264277	10	2	108995	3.7235	9.82E-05
ENSG00000164209	SLC25A46	5	110073837	110100857	55	9	109156	3.7231	9.84E-05
ENSG00000166289	PLEKHF1	19	30155963	30166364	22	4	109082	3.7222	9.87E-05
ENSG00000150471	LPHN3	4	62066976	62944053	1515	110	109060	3.7214	9.91E-05
ENSG00000178409	BEND3	6	107386386	107436473	71	11	109034	3.7209	9.93E-05
ENSG00000157087	ATP2B2	3	10365707	10749716	893	113	109020	3.7197	9.97E-05
